,city_name,seasonal_year,bloom_day_of_year,bloom_week_of_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp,Dec_temp,Jan_temp,Feb_temp,Mar_temp,latitude,longitude,elevation
0,Kumamoto,1981.0,90.0,14.0,6.0,14.0,7.0,9.0,15.0,12.321045,4.486786,2.460907,5.152405,9.1311035,32.6450475,130.6341345,91.0
1,Kumamoto,1982.0,83.0,12.0,9.0,3.0,10.0,11.0,13.0,10.097687,6.276886,3.7714233,5.153778,9.786194,32.6450475,130.6341345,91.0
2,Kumamoto,1983.0,93.0,13.0,10.0,8.0,9.0,8.0,18.0,13.110779,6.53891,4.6188354,4.3908997,9.249908,32.6450475,130.6341345,91.0
3,Kumamoto,1984.0,96.0,14.0,7.0,8.0,9.0,10.0,10.0,10.222229,4.8210754,1.8271484,2.8559265,6.512146,32.6450475,130.6341345,91.0
4,Kumamoto,1985.0,94.0,14.0,5.0,11.0,8.0,16.0,16.0,13.1223755,6.3368225,2.779602,6.140381,9.578766,32.6450475,130.6341345,91.0
5,Kumamoto,1986.0,92.0,14.0,11.0,14.0,12.0,8.0,15.0,10.757782,4.904846,2.686615,2.9027405,8.502258,32.6450475,130.6341345,91.0
6,Kumamoto,1987.0,93.0,14.0,6.0,12.0,9.0,10.0,18.0,10.99707,7.827545,4.9625854,6.2655945,9.261078,32.6450475,130.6341345,91.0
7,Kumamoto,1988.0,98.0,14.0,7.0,6.0,9.0,11.0,16.0,12.638031,7.2079163,5.8568115,4.9339294,8.145905,32.6450475,130.6341345,91.0
8,Kumamoto,1989.0,88.0,13.0,10.0,4.0,13.0,12.0,12.0,9.949249,6.603363,7.5431824,7.703491,8.938385,32.6450475,130.6341345,91.0
9,Kumamoto,1990.0,88.0,13.0,10.0,11.0,13.0,18.0,7.0,11.541473,7.3435974,4.514679,9.123871,10.37085,32.6450475,130.6341345,91.0
10,Kumamoto,1991.0,93.0,14.0,10.0,12.0,11.0,12.0,17.0,13.499542,7.0727234,4.896393,4.7414246,11.061676,32.6450475,130.6341345,91.0
11,Kumamoto,1992.0,90.0,14.0,5.0,14.0,12.0,7.0,21.0,10.865112,8.481995,5.791443,5.378357,11.049011,32.6450475,130.6341345,91.0
12,Kumamoto,1993.0,95.0,14.0,9.0,12.0,11.0,11.0,11.0,11.832916,7.8105164,5.829315,6.208832,8.230347,32.6450475,130.6341345,91.0
13,Kumamoto,1994.0,94.0,14.0,13.0,12.0,12.0,9.0,10.0,13.883911,6.544342,5.1617737,5.3737793,7.1821594,32.6450475,130.6341345,91.0
14,Kumamoto,1995.0,98.0,14.0,8.0,13.0,8.0,8.0,13.0,13.567413,8.135193,4.4453735,5.1715393,8.846039,32.6450475,130.6341345,91.0
15,Kumamoto,1996.0,91.0,13.0,9.0,6.0,11.0,12.0,14.0,10.177399,5.036255,4.444275,4.325287,8.836609,32.6450475,130.6341345,91.0
16,Kumamoto,1997.0,86.0,13.0,13.0,8.0,11.0,8.0,11.0,12.612549,7.30249,4.0157166,5.7723083,10.286957,32.6450475,130.6341345,91.0
17,Kumamoto,1998.0,91.0,14.0,12.0,16.0,18.0,14.0,14.0,13.610687,8.035736,5.199707,8.269867,9.2838745,32.6450475,130.6341345,91.0
18,Kumamoto,1999.0,93.0,13.0,6.0,1.0,7.0,13.0,13.0,12.451569,8.108215,5.1959534,5.343292,10.7655945,32.6450475,130.6341345,91.0
19,Kumamoto,2000.0,94.0,14.0,12.0,9.0,20.0,8.0,14.0,11.582977,6.2417297,6.1859436,3.895874,8.858429,32.6450475,130.6341345,91.0
20,Kumamoto,2001.0,93.0,14.0,11.0,9.0,20.0,15.0,13.0,13.404236,7.404541,4.7442017,6.748108,9.158844,32.6450475,130.6341345,91.0
21,Kumamoto,2002.0,88.0,13.0,8.0,12.0,16.0,10.0,11.0,11.103424,6.625885,6.097931,6.5067444,10.524719,32.6450475,130.6341345,91.0
22,Kumamoto,2003.0,90.0,14.0,11.0,15.0,14.0,12.0,16.0,9.239471,7.4704895,4.0077515,7.1372375,8.597168,32.6450475,130.6341345,91.0
